id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2ITJKfLesLib9xo0hWVT1V,0.808,0.568,7,-8.216,1,0.131,0.114,0.006,0.16,0.26,95.038,240000,4
4UdDJ77xjH9ru5r5F9kfOG,0.669,0.611,10,-7.068,1,0.0966,0.232,0.0,0.163,0.426,110.008,144000,4
6WZVnqQ9OZRSGZmXyHHlV3,0.628,0.795,10,-6.27,0,0.0366,0.0444,0.00189,0.582,0.565,114.003,168421,4
6kgaI3kHkqmRimeGQdS4Ga,0.706,0.728,11,-4.606,0,0.332,0.155,0.0,0.0996,0.878,77.226,208920,5
5UautcyJDjHxwnejNAkfg9,0.86,0.6,11,-7.691,0,0.195,0.00915,0.000459,0.0838,0.514,100.021,194400,4
59sAr7NvZDeH7oYrkiyZcQ,0.821,0.619,6,-9.496,0,0.102,0.0286,4.93e-06,0.118,0.388,115.949,168103,4
7vKXc90NT5WBm3UTT4iTVG,0.724,0.809,6,-5.022,0,0.0929,0.182,0.0,0.0765,0.606,99.005,194040,4
2KwnwVXtAlpSDdRVO9ccTJ,0.812,0.551,1,-7.829,1,0.268,0.351,1.64e-05,0.317,0.896,114.075,153684,4
4PKxskDMb62jvG5Li46vkH,0.572,0.706,2,-9.019,1,0.117,0.0379,0.0122,0.113,0.158,114.004,145263,4
2kaH2Z8ezDUKf6fNw250rZ,0.788,0.649,2,-9.674,1,0.0532,0.253,0.0136,0.12,0.229,113.009,169912,4
1oq33HJBs0rDmjjZ2rVFyG,0.845,0.638,1,-6.549,1,0.0394,0.0259,0.00129,0.0724,0.839,113.017,234025,4
1RnRPPu3XPtftOhs1qF1hY,0.94,0.779,1,-4.854,1,0.0376,0.101,0.0,0.0792,0.581,111.978,195762,4
1wADwLSkYhrSmy4vdy6BRn,0.711,0.725,3,-8.315,0,0.0941,0.424,0.129,0.11,0.53,105.016,183057,4
16aRxdbEl0smktrm0hK0eX,0.78,0.654,2,-9.628,0,0.115,0.269,2.08e-06,0.136,0.281,114.02,185263,4
0Q1bMs3xLQiDEeaneehdxv,0.755,0.675,10,-6.973,1,0.0918,0.512,1.41e-06,0.117,0.783,112.049,182143,4
69bvwTwKZBlynqbMyZmEO2,0.782,0.594,1,-6.337,1,0.0414,0.157,0.48,0.137,0.681,116.027,177931,4
2LjZYCOYldHWhzQ1G5XJ81,0.744,0.681,1,-8.966,1,0.164,0.338,0.0,0.0821,0.755,114.029,170389,4
68KDqjQ5T2gS0Pk47Somna,0.888,0.792,1,-5.405,1,0.0371,0.107,0.0,0.0639,0.394,111.994,219141,4
5DttTktPy0RMZPz4UNfFm4,0.568,0.868,2,-2.659,0,0.0825,0.381,2.85e-06,0.102,0.713,99.525,156213,4
7ErtOGQ9DwyQa3lwP77j4u,0.727,0.6,8,-4.799,1,0.24,0.636,5.1e-06,0.106,0.754,199.796,216000,4
4rXLjWdF2ZZpXCVTfWcshS,0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,125040,4
3ceZIRUX8m8qFFcnEDkj2K,0.473,0.675,6,-10.175,1,0.0832,0.347,0.0,0.108,0.471,111.862,159100,4
1tOp1bXhT9tvydSAGDHdQy,0.578,0.631,8,-7.619,1,0.228,0.314,0.0,0.107,0.794,108.783,169043,4
4cPKw3rzgmaU4zixJe6wge,0.787,0.378,8,-8.74,1,0.248,0.31,0.00022,0.104,0.283,95.013,205895,4
32R7SBDSQmhDM4qUgzTc6z,0.703,0.563,3,-7.251,0,0.408,0.179,0.0,0.0895,0.66,62.624,184078,5
6ouXLgYvJUqyL7ljiGzZS1,0.461,0.365,2,-10.537,0,0.0417,0.8,0.000611,0.152,0.294,113.009,156429,4
5F4OfeowSReF93KcH2eUcG,0.843,0.725,6,-7.282,0,0.0539,0.165,0.00357,0.0948,0.556,120.0,150000,4
2mAY3Ht1Nrw4InGdMvqO0H,0.893,0.82,8,-6.226,1,0.052,0.12,8.51e-05,0.0693,0.597,114.002,213656,4
3ZwqPR9wHrcH1yEmm3nBto,0.72,0.546,1,-10.318,1,0.374,0.297,0.0,0.134,0.713,109.987,160983,4
3UnV8C3DyIns9oEQRt0UnZ,0.826,0.818,10,-5.466,0,0.0686,0.541,0.0,0.14,0.611,113.024,208562,4
6T7FXSuXykeGktMLGp8WgE,0.787,0.57,3,-5.881,1,0.225,0.0449,0.0,0.135,0.733,142.974,223879,4
